District,Province,Total Voters,Liberal,Conservative,NDP,BQ,Others,Total Votes,Elected
10001,NL,63303,14318.0,19132.0,3365.0,0.0,297.0,37112,Conservative
10002,NL,70782,19866.0,15376.0,2668.0,0.0,265.0,38175,Liberal
10003,NL,59685,17208.0,10137.0,4847.0,0.0,339.0,32531,Liberal
10004,NL,19774,5768.0,4528.0,1037.0,0.0,82.0,11415,Liberal
10005,NL,57869,13652.0,12232.0,3702.0,0.0,426.0,30012,Liberal
10006,NL,68026,14345.0,19110.0,7190.0,0.0,402.0,41047,Conservative
10007,NL,64543,12295.0,16644.0,8073.0,0.0,235.0,37247,Conservative
11001,PE,27411,11542.0,6923.0,1535.0,0.0,533.0,20533,Liberal
11002,PE,27175,9586.0,6524.0,2126.0,0.0,876.0,19112,Liberal
11003,PE,27146,10288.0,5991.0,1847.0,0.0,1224.0,19350,Liberal
11004,PE,25945,9779.0,6708.0,1983.0,0.0,901.0,19371,Liberal
12001,NS,60984,21424.0,9740.0,8111.0,0.0,1006.0,40281,Liberal
12002,NS,61137,10349.0,17134.0,13861.0,0.0,795.0,42139,Conservative
12003,NS,72264,19027.0,10259.0,14612.0,0.0,1061.0,44959,Liberal
12004,NS,76885,15437.0,8993.0,23420.0,0.0,2112.0,49962,NDP
12005,NS,70349,21818.0,10184.0,10798.0,0.0,1406.0,44206,Liberal
12006,NS,65898,19491.0,13772.0,8138.0,0.0,1383.0,42784,Liberal
12007,NS,70036,10299.0,22439.0,8944.0,0.0,1434.0,43116,Conservative
12008,NS,69311,9921.0,9450.0,22848.0,0.0,933.0,43152,NDP
12009,NS,67983,11629.0,15108.0,11689.0,0.0,2574.0,41000,Conservative
12010,NS,64589,20277.0,7455.0,11587.0,0.0,1336.0,40655,Liberal
12011,NS,71393,17734.0,17222.0,8512.0,0.0,1722.0,45190,Liberal
13001,NB,67608,15504.0,8513.0,25195.0,0.0,1280.0,50492,NDP
13002,NB,62291,22012.0,14919.0,7717.0,0.0,1647.0,46295,Liberal
13003,NB,69453,19649.0,16292.0,9988.0,0.0,1082.0,47011,Liberal
13004,NB,54154,9979.0,17630.0,7696.0,0.0,1189.0,36494,Conservative
13005,NB,53233,13734.0,12849.0,8322.0,0.0,1220.0,36125,Liberal
13006,NB,45284,13960.0,11250.0,5587.0,0.0,2227.0,33024,Liberal
13007,NB,72386,22918.0,14464.0,9095.0,0.0,1559.0,48036,Liberal
13008,NB,49921,8877.0,18155.0,5178.0,0.0,922.0,33132,Conservative
13009,NB,65639,17202.0,15753.0,6267.0,0.0,858.0,40080,Liberal
13010,NB,54135,15558.0,15894.0,4172.0,0.0,679.0,36303,Conservative
24001,QC,79435,6501.0,10634.0,4022.0,24637.0,1279.0,47073,BQ
24002,QC,75100,18594.0,6119.0,3948.0,19428.0,1836.0,49925,BQ
24003,QC,80328,14895.0,10210.0,3838.0,23193.0,1842.0,53978,BQ
24004,QC,86627,7171.0,12461.0,3466.0,27855.0,2480.0,53433,BQ
24005,QC,82123,4364.0,36915.0,1405.0,10997.0,1397.0,55078,Conservative
24006,QC,84563,8272.0,14609.0,4163.0,26190.0,1864.0,55098,BQ
24007,QC,83327,4929.0,19409.0,3917.0,18589.0,2239.0,49083,Conservative
24008,QC,85642,5605.0,16958.0,3319.0,26191.0,1925.0,53998,BQ
24009,QC,73571,18705.0,6830.0,2237.0,13777.0,1543.0,43092,Liberal
24010,QC,74088,13569.0,9874.0,2839.0,18596.0,3642.0,48520,BQ
24011,QC,86808,20190.0,9749.0,4301.0,21433.0,1993.0,57666,BQ
24012,QC,88601,6933.0,12703.0,5167.0,33703.0,3113.0,61619,BQ
24013,QC,77036,4364.0,20406.0,3084.0,19034.0,2829.0,49717,Conservative
24014,QC,74190,3989.0,14559.0,2896.0,22169.0,1527.0,45140,BQ
24015,QC,82326,10295.0,11219.0,2865.0,28274.0,2375.0,55028,BQ
